Longitude,Type of Station,City,Address1,Zip,Address2,Version,State,City and State of the station,State FIPS,Unique Station Code,Latitude,latitude,longitude
-76.16301,RAIL,Aberdeen,18 East Bel Air Ave.,21001-3701,,07,MD,"Aberdeen, Maryland",24,ABE,39.50946,39.50946,-76.16301
-74.507538,OTHER,Absecon,Shore Road and Ohio Ave,08201,,07,NJ,"Absecon, New Jersey",34,ABN,39.428696,39.428696,-74.507538
-106.64698,RAIL,Albuquerque,214 First Street SW,87102,,07,NM,"Albuquerque, New Mexico",35,ABQ,35.082935,35.082935,-106.64698
-121.815132,RAIL,Antioch,100 I Street,94509-1122,,07,CA,"Antioch-Pittsburg, California",06,ACA,38.018085,38.018085,-121.815132
-74.439865,OTHER,Atlantic City,1 Atlantic City Expressway,08401-4106,New Jersey Transit Station,07,NJ,"Atlantic City, New Jersey",34,ACY,39.363003,39.363003,-74.439865
-117.404213,BUS,Adelanto Junction  (Victor,12077 Palmdale Road,92392,Opposite side of Street from Burger King,07,CA,"Adelanto Jct., California",06,ADE,34.558266,34.558266,-117.404213
-97.125412,RAIL,Ardmore,251 East Main St.,73401-7016,,07,OK,"Ardmore, Oklahoma",40,ADM,34.171913,34.171913,-97.125412
-122.697021,BUS,Ashland,585 Siskiyou Blvd,97520,Safeway Market,07,OR,"Ashland, Oregon",41,AHL,42.188118,42.188118,-122.697021
-82.639473,RAIL,Ashland,99 15th Street,41101,,07,KY,"Ashland, Kentucky",21,AKY,38.48093,38.48093,-82.639473
-73.741257,RAIL,Rensselaer,525 East St.,12144-2310,,07,NY,"Albany/Rensselaer, New York",36,ALB,42.641647,42.641647,-73.741257
-81.09581,RAIL,Alliance,820 East Main Street,44601,,07,OH,"Alliance, Ohio",39,ALC,40.921787,40.921787,-81.09581
-80.644646,RAIL,Alderson,1 C&O Plaza,24910,,07,WV,"Alderson, West Virginia",54,ALD,37.724239,37.724239,-80.644646
-84.756325,RAIL,Albion,300 North Eaton St.,49224,,07,MI,"Albion, Michigan",26,ALI,42.247375,42.247375,-84.756325
-90.134949,RAIL,Alton,3400 College Ave.,62002-5000,,07,IL,"Alton, Illinois",17,ALN,38.904491,38.904491,-90.134949
-103.661041,RAIL,Alpine,102 West Holland Street,79830,,07,TX,"Alpine, Texas",48,ALP,30.357159,30.357159,-103.661041
-78.400993,RAIL,Altoona,1231 11th Avenue,16601,,07,PA,"Altoona, Pennsylvania",42,ALT,40.514782,40.514782,-78.400993
-77.062645,RAIL,Alexandria,110 Callahan Drive,22301-2752,,07,VA,"Alexandria, Virginia",51,ALX,38.806244,38.806244,-77.062645
-123.099648,RAIL,Albany,110 10th Ave SW,97321-2457,,07,OR,"Albany, Oregon",41,ALY,44.630756,44.630756,-123.099648
-72.511925,RAIL,Amherst,13 Railroad St.,01002-2318,,07,MA,"Amherst, Massachusetts",25,AMM,42.374859,42.374859,-72.511925
-74.209526,RAIL,Amsterdam,Railroad St. & West Main Ave.,12010,Route 5 West,07,NY,"Amsterdam, New York",36,AMS,42.947479,42.947479,-74.209526
-117.884819,RAIL,Anaheim,2150 East Katella Avenue,92806,,07,CA,"Anaheim, California",06,ANA,33.80426,33.80426,-117.884819
-88.405647,BUS,Appleton,100 East Washington St.,54911-5448,Appleton Transit Center,07,WI,"Appleton, Wisconsin",55,APP,44.265942,44.265942,-88.405647
-83.744026,RAIL,Ann Arbor,325 Depot Street,48104,,07,MI,"Ann Arbor, Michigan",26,ARB,42.288052,42.288052,-83.744026
-124.083939,BUS,Arcata,925 E Street,95521-6239,Transit Center,07,CA,"Arcata (Transit Center), California",06,ARC,40.867573,40.867573,-124.083939
-75.289444,RAIL,Ardmore,Station Road and Lancaster Ave.,19003,,07,PA,"Ardmore, Pennsylvania",42,ARD,40.007263,40.007263,-75.289444
-123.844817,BUS,Astoria,95 West Marine Drive,97103,Mini Mart,07,OR,"Astoria, Oregon (Buses-Mini Mart)",41,ARI,46.190394,46.1903936525,-123.844816933
-93.052444,RAIL,Arkadelphia,798 South 5th St.,71923-6237,,07,AR,"Arkadelphia, Arkansas",05,ARK,34.114376,34.114376,-93.052444
-121.082031,RAIL,Auburn,277 Nevada St. at Fulweiler St.,95603,,07,CA,"Auburn, California",06,ARN,38.904182,38.904182,-121.082031
-123.820318,BUS,Astoria,20th St. and Columbia River Hwy,97103,,07,OR,"Astoria, Oregon (Train Station)",41,ARO,46.189101,46.1891011557,-123.820318046
-123.833553,BUS,Astoria,900 Marine Drive,97103,Astoria Intermodal Terminal,07,OR,"Astoria, Oregon (Buses-Transit Center)",41,ART,46.189965,46.1899647327,-123.833553037
-77.481674,RAIL,Ashland,112 North Railroad Avenue,23005,,07,VA,"Ashland, Virginia",51,ASD,37.759235,37.759235,-77.481674
-106.817234,BUS,Aspen,No specific stop location,81611,Door to door service,07,CO,"Aspen Shuttle, Colorado",08,ASX,39.191252,39.1912519999,-106.817234012
-120.66571,BUS,Atascadero,6910 El Camino Real,93422,Denny's Restaurant,07,CA,"Atascadero, California",06,ATA,35.489208,35.489208,-120.66571
-120.665912,BUS,Atascadero,6910 El Camino Real,93422,New City Code ATA effec. 4-24-06,07,CA,"Atascadero (Denny's), California",06,ATD,35.486628,35.4866280104,-120.66591215
-84.391785,RAIL,Atlanta,"1688 Peachtree Street, NW",30309,intersection of Deering Road,07,GA,"Atlanta, Georgia",13,ATL,33.799564,33.799564,-84.391785
-85.831886,RAIL,Anniston,126 West 4th St,36201,,07,AL,"Anniston, Alabama",01,ATN,33.648998,33.648998,-85.831886
-74.893469,OTHER,Atco,Cooper Rd and Raritan Ave,08004,New Jersey Transit station,07,NJ,"Atco, New Jersey",34,ATO,39.77453,39.7745295227,-74.893469066
-87.487335,RAIL,Atmore,107 E. Louisville Street,36502,,07,AL,"Atmore, Alabama",01,ATR,31.024328,31.024328,-87.487335
-97.755569,RAIL,Austin,250 North Lamar Blvd.,78703,,07,TX,"Austin, Texas",48,AUS,30.269093,30.269093,-97.755569
-117.811325,BUS,Baker City,515 Campbell Street,97814,Baker Truck Corral,07,OR,"Baker City, Oregon",41,BAK,44.782055,44.782055,-117.811325
-76.617477,RAIL,Baltimore,1515 North Charles Street,21201-5893,Penn Station,07,MD,"Baltimore (Penn Station), Maryland",24,BAL,39.308121,39.308121,-76.617477
-86.11187,RAIL,Bangor,541 Railroad St.,49103-1464,,07,MI,"Bangor, Michigan",26,BAM,42.314186,42.314186,-86.11187
-68.813156,BUS,Bangor,1039 Union St.,04401-3011,Bangor Transportation Center,07,ME,"Bangor, Maine",23,BAN,44.818428,44.8184278063,-68.8131562483
-117.025352,RAIL,Barstow,685 North First Avenue,92311,,07,CA,"Barstow (Amtrak), California",06,BAR,34.9048,34.9048,-117.025352
-89.337334,RAIL,Bay St. Louis,303 South Railroad Ave,39520,,07,MS,"Bay St. Louis, Mississippi",28,BAS,30.3069,30.3069,-89.337334
-69.820877,BUS,Bath,10 State Rd,04530-6018,"Mail It 4 U - Suite 9, Coastal Plaza",07,ME,"Bath, Maine",23,BAT,43.913471,43.9134711433,-69.8208774301
-117.001488,BUS,Barstow,1611 East Main Street,92311-3239,,07,CA,"Barstow (Bus), California",06,BBS,34.892394,34.8923940243436,-117.001488447394
-71.076355,RAIL,Boston,145 Dartmouth St.,02116-5162,,07,MA,"Boston (Back Bay), Massachusetts",25,BBY,42.347305,42.347305,-71.076355
-122.157481,BUS,Benicia,Military West St at West 2nd St,94510,City Park Transit Stop,07,CA,"Benicia, California",06,BCI,38.054492,38.0544916596,-122.157481059
-93.680153,BUS,Bossier City,2015 Old Minden Rd,71111-3230,"Holiday Inn, I-20 exit 21",07,LA,"Bossier City, Louisiana",22,BCL,32.525558,32.525558,-93.680153
-82.470673,BUS,Bradenton,1115 Manatee Avenue West,34205-7803,Manatee County Courthouse,07,FL,"Bradenton, Florida",12,BDT,27.490396,27.490396,-82.470673
-121.273407,BUS,Bend,1315 Northeast 3rd St,97701,Greyhound Station,07,OR,"Bend (Greyhound), Oregon",41,BED,44.05534,44.05534,-121.273407
-122.509888,RAIL,Bellingham,401 Harris Avenue,98225,,07,WA,"Bellingham, Washington",53,BEL,48.720486,48.720486,-122.509888
-110.293983,RAIL,Benson,105 E. 4th Street,85602-6611,,07,AZ,"Benson, Arizona",04,BEN,31.968168,31.968168,-110.293983
-72.765724,RAIL,Kensington,51 Depot Road,06037,,07,CT,"Berlin, Connecticut",09,BER,41.635525,41.635525,-72.765724
-89.035492,BUS,South Beloit,15766 Manchester Road,61080-9723,McDonald?s/BP Amoco Travel Plaza,07,IL,"South Beloit, Illinois",17,BET,42.49884,42.49884,-89.035492
-116.976509,BUS,Beaumont,NE Corner of East 6th St. and Orange Ave.,92223,Civic Center Parking Lot,07,CA,"Beaumont, California",06,BEU,33.928047,33.928047,-116.976509
-119.022461,RAIL,Bakersfield,601 Truxtun Ave,93301-5319,Off Truxtun Ave and S Street,07,CA,"Bakersfield, California",06,BFD,35.37138,35.37138,-119.022461
-69.02155,BUS,Belfast,Belmont Ave & US Hwy 1,04915,Big Apple Conv Store/CITGO Station,07,ME,"Belfast, Maine",23,BFT,44.42352,44.4235200155,-69.0215500064
-78.875061,RAIL,Buffalo,75 Exchange Street,14203,,07,NY,"Buffalo (Exchange St), New York",36,BFX,42.878483,42.878483,-78.875061
